Title,RequestURL,RequestVerb,UserAgent,IPAddress,StatusCode,Member,Rule,LoginAttemptStatus,SessionIdentifier,ExpectedResult,RequestLogInspectors,LoginAttemptInspectors,Country
AALC normal user outside network can access non ad,/,GET,test norm,101.101.101.101,,5,Allow admin local ip,Success,testnorm,"Allow admin local ip is enabled
No requests of type Admin, verb Any, ipaddress Allowed for permission",,,New Zealand
AALC unauth inside network can access non admin pa,/,GET,test un,127.0.0.1,,0,Allow admin local ip,Success,testun,"Allow admin local ip is enabled
IP address of type 127.0.0.1 is allowed for Admin
Included Permission for member (none) that is not in CMS_ACCESS
IP address of type 127.0.0.1 failed permission for Admin
No requests of type Admin, verb Any, ipaddress Allowed for permission",,,New Zealand
AALC unauth inside network cant acess admin,admin/security,GET,test un,127.0.0.1,,0,Allow admin local ip,Success,testun,"Allow admin local ip is enabled
IP address of type 127.0.0.1 is allowed for Admin
Included Permission for member (none) that is not in CMS_ACCESS
IP address of type 127.0.0.1 failed permission for Admin
Request count of 1 is greater than or equal to 1 for verb Any, ipaddress Allowed for permission
Included Group for member (none) that is not in External network
Extend evaluate session is false
Evaluate is false",,,New Zealand
AALC unauth outside network cant access admin,admin/security,GET,test un,101.101.101.101,,0,Allow admin local ip,Success,testun,"Allow admin local ip is enabled
Request count of 1 is greater than or equal to 1 for verb Any, ipaddress Allowed for permission
Included Group for member (none) that is not in External network
Extend evaluate session is false
Evaluate is false",,,New ealand
AALC unauth user outside network can access non ad,/,GET,test un,101.101.101.101,,0,Allow admin local ip,Success,testun,"Allow admin local ip is enabled
No requests of type Admin, verb Any, ipaddress Allowed for permission",,,New Zealand
AALI external admin eternal can access non admin,/,GET,testext,101.101.101.101,,2,Allow admin local ip,Success,testext,"Allow admin local ip is enabled
No requests of type Admin, verb Any, ipaddress Allowed for permission",,,New Zealand
AALI external admin from outside network can acces,admin/security,GET,testext,101.101.101.101,,2,Allow admin local ip,Success,testext,"Allow admin local ip is enabled
Request count of 1 is greater than or equal to 1 for verb Any, ipaddress Allowed for permission
Included Group for member External that is in External network",,,New Zealand
AALI external admin locally can access non admin ,/,POST,testext,127.0.0.1,,2,Allow admin local ip,Success,testext,"Allow admin local ip is enabled
IP address of type 127.0.0.1 is allowed for Admin
Included Permission for member External that is in CMS_ACCESS",,,New Zealand
AALI External on local network can access admin,admin/security,GET,test,127.24.0.1,,2,Allow admin local ip,Success,testext,"Allow admin local ip is enabled
Request count of 1 is greater than or equal to 1 for verb Any, ipaddress Allowed for permission
Included Group for member External that is in External network",,,New Zealand
AALI Local admin can access admin,admin/security/,GET,test,127.0.0.1,,3,Allow admin local ip,Success,test,"Allow admin local ip is enabled
IP address of type 127.0.0.1 is allowed for Admin
Included Permission for member Local that is in CMS_ACCESS",,,New Zealand
